iter	Passed	Remaining
920	273658	23473
921	273900	23171
922	274120	22868
923	274384	22568
924	274649	22268
925	274904	21968
926	275125	21665
927	275373	21365
928	275644	21066
929	275921	20768
930	276161	20467
931	276460	20170
932	276698	19870
933	276928	19568
934	277159	19267
935	277454	18971
936	277765	18675
937	278040	18377
938	278266	18076
939	278472	17774
940	278724	17475
941	278932	17174
942	279219	16877
943	279504	16580
944	279756	16282
945	279958	15980
946	280159	15679
947	280405	15380
948	280627	15081
949	280838	14780
950	281050	14481
951	281248	14180
952	281452	13880
953	281644	13580
954	281853	13281
955	282074	12982
956	282282	12683
957	282488	12384
958	283168	12106
959	283541	11814
960	283700	11513
961	283859	11212
962	283991	10911
963	284125	10610
964	284267	10310
965	284431	10011
966	284610	9712
967	284772	9413
968	284897	9114
969	285002	8814
970	285136	8515
971	285288	8218
972	285428	7920
973	285566	7622
974	285708	7325
975	285865	7029
976	286000	6732
977	286165	6437
978	286297	6141
979	286424	5845
980	286552	5549
981	286685	5254
982	286821	4960
983	286963	4666
984	287103	4372
985	287229	4078
986	287373	3785
987	287500	3491
988	287667	3199
989	287797	2907
990	287979	2615
991	288108	2323
992	288253	2031
993	288400	1740
994	288527	1449
995	288651	1159
996	288780	868
997	288922	579
998	289064	289
999	289197	0
